"","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery","address","lat","long","description2"
"215","US","Made in the modern California style, with very ripe, rather sweet pineapple jam, green apple butter and smoky oak flavors that are wrapped into a creamy texture.","Reserve Selection",85,15,"California","Russian River Valley","Sonoma","","","Hayman & Hill 2007 Reserve Selection Chardonnay (Russian River Valley)","Chardonnay","Hayman & Hill","Russian River Valley, California, US",38.9116325,-123.0110483,"Made in the modern California style, with very ripe, rather sweet pineapple jam, green apple butter and smoky oak flavors that are wrapped into a creamy texture. Chardonnay US California Russian River Valley Hayman & Hill"
"216","US","This sparkling wine starts with a toasty but soft nose, leading into clean but fruity flavors and a refreshing finish. Though an earlier release might have allowed more primary fruit to show through, the wine offers easygoing but elegant enjoyment.","Blanc de Blanc",85,30,"New York","Finger Lakes","Finger Lakes","","","Hermann J. Wiemer 2002 Blanc de Blanc Chardonnay (Finger Lakes)","Chardonnay","Hermann J. Wiemer","Finger Lakes, New York, US",42.7238165,-76.9297247,"This sparkling wine starts with a toasty but soft nose, leading into clean but fruity flavors and a refreshing finish. Though an earlier release might have allowed more primary fruit to show through, the wine offers easygoing but elegant enjoyment. Chardonnay US New York Finger Lakes Hermann J. Wiemer"
"217","Spain","Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine.","Herederos de François Lurton Villafrance de Duero",85,13,"Northern Spain","Vino de la Tierra de Castilla y León","","Michael Schachner","@wineschach","J. & F. Lurton 2007 Herederos de François Lurton Villafrance de Duero Red (Vino de la Tierra de Castilla y León)","Red Blend","J. & F. Lurton","Vino de la Tierra de Castilla y León, Northern Spain, Spain",41.59491,-4.575127,"Simple but well-maded wine with aromas of chewing gum, cherry and blackberry. It's a plump, sort of grabby red with sweet raspberry and chocolate flavors followed by a creamy, soft finish. Not much complexity but good fruit and depth. Not the least bit hard to drink. Good mass wine. Red Blend Spain Northern Spain Vino de la Tierra de Castilla y León J. & F. Lurton"
"218","Australia","Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now.","Destinations",85,15,"South Australia","Adelaide Hills","","","","Long Flat 2006 Destinations Sauvignon Blanc (Adelaide Hills)","Sauvignon Blanc","Long Flat","Adelaide Hills, South Australia, Australia",-34.9062557,138.8397403,"Juicy and well balanced, this is an admirable effort at the price. Boxwood, grapefruit, lemon and quince notes make for a sophisticated first impression. The palate is straightforward citrus while gooseberry notes pop up on the dry finish. Drink now. Sauvignon Blanc Australia South Australia Adelaide Hills Long Flat"
"219","US","Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now.","Reserve",85,25,"California","Sonoma Mountain","Sonoma","","","Work 2004 Reserve Merlot (Sonoma Mountain)","Merlot","Work","Sonoma Mountain, California, US",38.3229698,-122.5749837,"Tasty, with pie-filling cherries, blackberries and currants accented with smoky oak, but a little on the soft side. Fully developed, so drink now. Merlot US California Sonoma Mountain Work"
"220","US","This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice.","Estate Single Vineyard",85,45,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley)","Pinot Noir","Amity","Willamette Valley, Oregon, US",44.942554,-122.9337615,"This seems as if it was assembled from lesser barrels. It's pleasant, very light, simple and tart; the dominant flavor is cranberry juice. Pinot Noir US Oregon Willamette Valley Amity"
"221","US","Cherry pie-filling and boysenberry notes open this impressive blend of Merlot and Petit Verdot. Abundant but velvety tannins give a lift to blueberry and   chocolate tones in the mouth, while the slightly grippy finish shows appealing mixed berry flavors.","Petit Verdot-Merlot",85,18,"Virginia","Monticello","","","","Autumn Hill 2007 Petit Verdot-Merlot Red (Monticello)","Bordeaux-style Red Blend","Autumn Hill","Monticello, Virginia, US",38.0086043,-78.4531994,"Cherry pie-filling and boysenberry notes open this impressive blend of Merlot and Petit Verdot. Abundant but velvety tannins give a lift to blueberry and   chocolate tones in the mouth, while the slightly grippy finish shows appealing mixed berry flavors. Bordeaux-style Red Blend US Virginia Monticello Autumn Hill"
"222","US","Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now.","Estate",85,49,"California","Alexander Valley","Sonoma","","","Blue Rock 2005 Estate Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Blue Rock","Alexander Valley, California, US",38.6129647,-122.7694345,"Ripe, soft and a little sweet, with jellied flavors of blackberries, cherries, chocolate and anise. Drink now. Cabernet Sauvignon US California Alexander Valley Blue Rock"
"223","US","Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins.","Papillon Estate",85,22,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley)","Pinot Noir","Cherry Hill","Willamette Valley, Oregon, US",44.942554,-122.9337615,"Spicy and tannic, this inexpensive Pinot from Cherry Hill opens with earthy fruit and leaf flavors—tomato and herb dominate, with just a suggestion of berry. There isn't much in the way of ripeness here, to either fruit or tannins. Pinot Noir US Oregon Willamette Valley Cherry Hill"
"224","US","Shows the briary, brambly character of Foothills Zin, with an array of wild berry, tobacco, mocha and Asian spice flavors wrapped into finely ground tannins. But the wine is too sweet and candied in the finish. Drink now.","Seity",85,35,"California","Amador County","Sierra Foothills","","","Cloud 9 2006 Seity Zinfandel (Amador County)","Zinfandel","Cloud 9","Amador County, California, US",38.3488921,-120.7740931,"Shows the briary, brambly character of Foothills Zin, with an array of wild berry, tobacco, mocha and Asian spice flavors wrapped into finely ground tannins. But the wine is too sweet and candied in the finish. Drink now. Zinfandel US California Amador County Cloud 9"
"225","Argentina","Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish.","Reserve",85,15,"Mendoza Province","Luján de Cuyo","","Michael Schachner","@wineschach","Cueva de las Manos 2007 Reserve Malbec (Luján de Cuyo)","Malbec","Cueva de las Manos","Luján de Cuyo, Mendoza Province, Argentina",-33.0391038,-68.8798644,"Huge in color and extract, but also a little childish. The nose has gumball, berry jam and a touch of volatility, but after things settle it rests on bold black fruit. It's not overly rich or sweet, and the feel is sort of sinewy. Seems more about size and color than refinement and polish. Malbec Argentina Mendoza Province Luján de Cuyo Cueva de las Manos"
"226","US","The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness.","",89,45,"California","St. Helena","Napa","","","David Fulton 2008 Petite Sirah (St. Helena)","Petite Sirah","David Fulton","St. Helena, California, US",38.5052429,-122.4703868,"The winery has a good track record with this bottling, which shows how well Petite Sirah does in the warmer St. Helena appellation of Napa Valley. This '08 is dryish to moderately sweet in jammy blackberries and blueberries, with a smoked meat, bacon edge. But it's also firmly tannic, which provides a framework for the sweetness. Petite Sirah US California St. Helena David Fulton"
"227","US","Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal.","Reserva",89,55,"California","Cole Ranch","","Virginie Boone","@vboone","Esterlina 2009 Reserva Pinot Noir (Cole Ranch)","Pinot Noir","Esterlina","Cole Ranch, California, US",38.9600424,-121.0467824,"Esterlina's Pinot is very perfumey, light in body and soul at first, as it gathers steam with a tasty backbone of lush red fruit, spice and plenty of staying power over a meal. Pinot Noir US California Cole Ranch Esterlina"
"228","South Africa","A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor.","Goat-Roti",89,20,"Coastal Region","","","Lauren Buzzeo","@laurbuzz","Goats do Roam Wine Co. 2008 Goat-Roti Syrah-Viognier (Coastal Region)","Syrah-Viognier","Goats do Roam Wine Co.",", Coastal Region, South Africa",13.2229202,-16.5819789,"A good value, this is an easy-pleasing Syrah with vibrant notes of red plum, cherry and blueberry. Fine, dusty tannins reminiscent of cocoa powder and dried crushed berries stay after swallow alongside a hint of sweet smoke flavor. Syrah-Viognier South Africa Coastal Region  Goats do Roam Wine Co."
"229","South Africa","This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced.","The William",89,18,"Coastal Region","","","Lauren Buzzeo","@laurbuzz","Graham Beck 2007 The William Red (Coastal Region)","Red Blend","Graham Beck",", Coastal Region, South Africa",13.2229202,-16.5819789,"This approachable Cabernet-based blend, which also has 18% Pinotage, 11% Cab Franc and 2% Shiraz, is a spicy and balanced red with notes of menthol, purple florals, black cherry and berry. With a mouthfeel like crushed velvet, a black pepper finish and an attractive price tag, it's a shame only 100 cases were produced. Red Blend South Africa Coastal Region  Graham Beck"
"230","South Africa","This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.","",89,35,"Stellenbosch","","","Lauren Buzzeo","@laurbuzz","Hartenberg 2007 Cabernet Sauvignon (Stellenbosch)","Cabernet Sauvignon","Hartenberg",", Stellenbosch, South Africa",-33.9321045,18.860152,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish. Cabernet Sauvignon South Africa Stellenbosch  Hartenberg"
"231","France","Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.","Noir 46",89,13,"Southwest France","Cahors","","Roger Voss","@vossroger","Vignobles 46N118 2007 Noir 46 Malbec (Cahors)","Malbec","Vignobles 46N118","Cahors, Southwest France, France",44.4475229,1.441989,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm. Malbec France Southwest France Cahors Vignobles 46N118"
"232","US","Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.","Estate",89,40,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley)","Pinot Noir","Willamette Valley Vineyards","Willamette Valley, Oregon, US",44.942554,-122.9337615,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment. Pinot Noir US Oregon Willamette Valley Willamette Valley Vineyards"
"233","Argentina","A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.","Estate Blend Gran Reserva",89,37,"Mendoza Province","","","Michael Schachner","@wineschach","Algodon 2008 Estate Blend Gran Reserva Red","Red Blend","Algodon",", Mendoza Province, Argentina",-32.8896247,-68.8526867,"A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish. Red Blend Argentina Mendoza Province  Algodon"
"234","US","Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.","Fairytale",89,39,"California","Napa Valley","Napa","Virginie Boone","@vboone","Beaver Creek 2008 Fairytale Red (Napa Valley)","Red Blend","Beaver Creek","Napa Valley, California, US",38.5024689,-122.2653887,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit. Red Blend US California Napa Valley Beaver Creek"
"235","US","A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014.","Monument",89,60,"California","Santa Maria Valley","Central Coast","","","Byron 2009 Monument Pinot Noir (Santa Maria Valley)","Pinot Noir","Byron","Santa Maria Valley, California, US",34.4208305,-119.6981901,"A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014. Pinot Noir US California Santa Maria Valley Byron"
"236","South Africa","A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.","",89,19,"Stellenbosch","","","Lauren Buzzeo","@laurbuzz","Jardin 2007 Syrah (Stellenbosch)","Syrah","Jardin",", Stellenbosch, South Africa",-33.9321045,18.860152,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa. Syrah South Africa Stellenbosch  Jardin"
"237","South Africa","Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.","Nine Yards",89,40,"Stellenbosch","","","Lauren Buzzeo","@laurbuzz","Jardin 2009 Nine Yards Chardonnay (Stellenbosch)","Chardonnay","Jardin",", Stellenbosch, South Africa",-33.9321045,18.860152,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close. Chardonnay South Africa Stellenbosch  Jardin"
"238","Argentina","For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.","Corte Malbec-Bonarda-Petit Verdot",89,14,"Mendoza Province","Mendoza","","Michael Schachner","@wineschach","Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza)","Red Blend","Kaiken","Mendoza, Mendoza Province, Argentina",-32.8894587,-68.8458386,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot. Red Blend Argentina Mendoza Province Mendoza Kaiken"
"239","Italy","This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.","Terso",89,36,"Veneto","Veneto","","","","Marchesi Fumanelli 2005 Terso White (Veneto)","White Blend","Marchesi Fumanelli","Veneto, Veneto, Italy",45.7623333,11.690976,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency. White Blend Italy Veneto Veneto Marchesi Fumanelli"
"240","Austria","Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.","",89,17,"Leithaberg","","","Roger Voss","@vossroger","Mariell 2009 Blaufränkisch (Leithaberg)","Blaufränkisch","Mariell",", Leithaberg, Austria",47.9666667,16.6666667,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now. Blaufränkisch Austria Leithaberg  Mariell"
"241","Greece","Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.","",89,15,"Santorini","","","Susan Kostrzewa","@suskostrzewa","My Big Fat Greek Wine 2010 Assyrtico (Santorini)","Assyrtico","My Big Fat Greek Wine",", Santorini, Greece",36.3931562,25.4615092,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams. Assyrtico Greece Santorini  My Big Fat Greek Wine"
"242","Italy","This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice.","Sirmian",89,26,"Northeastern Italy","Alto Adige","","","","Nals Margreid 2010 Sirmian Pinot Bianco (Alto Adige)","Pinot Bianco","Nals Margreid","Alto Adige, Northeastern Italy, Italy",41.914988,12.4668885,"This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice. Pinot Bianco Italy Northeastern Italy Alto Adige Nals Margreid"
"243","Argentina","Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.","B Crux",89,19,"Mendoza Province","Uco Valley","","Michael Schachner","@wineschach","O. Fournier 2007 B Crux Red (Uco Valley)","Red Blend","O. Fournier","Uco Valley, Mendoza Province, Argentina",-33.5806991,-69.1971443,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish. Red Blend Argentina Mendoza Province Uco Valley O. Fournier"
"244","Italy","This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.","Estrosa",89,13,"Piedmont","Monferrato","","","","Pico Maccario 2010 Estrosa White (Monferrato)","White Blend","Pico Maccario","Monferrato, Piedmont, Italy",44.8175587,8.7046627,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry. White Blend Italy Piedmont Monferrato Pico Maccario"
"245","Argentina","A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.","Reserva de Familia",89,30,"Mendoza Province","Mendoza","","Michael Schachner","@wineschach","Sottano 2009 Reserva de Familia Cabernet Sauvignon (Mendoza)","Cabernet Sauvignon","Sottano","Mendoza, Mendoza Province, Argentina",-32.8894587,-68.8458386,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco. Cabernet Sauvignon Argentina Mendoza Province Mendoza Sottano"
"246","US","A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic.","Old Vines",89,20,"California","Sonoma County","Sonoma","","","St. Francis 2009 Old Vines Zinfandel (Sonoma County)","Zinfandel","St. Francis","Sonoma County, California, US",38.5779555,-122.9888319,"A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic. Zinfandel US California Sonoma County St. Francis"
"247","US","Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.","",89,30,"California","Napa Valley","Napa","","","Trailhead 2010 Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Trailhead","Napa Valley, California, US",38.5024689,-122.2653887,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors. Cabernet Sauvignon US California Napa Valley Trailhead"
"248","US","Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.","Bishop Creek",89,50,"Oregon","Willamette Valley","","Paul Gregutt","@paulgwine ","Erath 2009 Bishop Creek Pinot Noir","Pinot Noir","Erath","Willamette Valley, Oregon, US",44.942554,-122.9337615,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar. Pinot Noir US Oregon Willamette Valley Erath"
"249","Italy","This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.","",89,52,"Northeastern Italy","Alto Adige","","","","Franz Haas 2009 Sauvignon (Alto Adige)","Sauvignon","Franz Haas","Alto Adige, Northeastern Italy, Italy",41.914988,12.4668885,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink. Sauvignon Italy Northeastern Italy Alto Adige Franz Haas"
"250","Austria","A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.","Schiefer Reserve",92,24,"Kremstal","","","Roger Voss","@vossroger","Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal)","Grüner Veltliner","Forstreiter",", Kremstal, Austria",47.9271368,14.080665,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap. Grüner Veltliner Austria Kremstal  Forstreiter"
"251","US","This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.","Bench Break Vineyard",92,34,"California","Santa Maria Valley","Central Coast","","","Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley)","Pinot Noir","Cambria","Santa Maria Valley, California, US",34.4208305,-119.6981901,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years. Pinot Noir US California Santa Maria Valley Cambria"
"252","Italy","This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.","Dulcamara",92,41,"Tuscany","Toscana","","Kerin O’Keefe","@kerinokeefe","I Giusti e Zanza 2009 Dulcamara Red (Toscana)","Red Blend","I Giusti e Zanza","Toscana, Tuscany, Italy",43.7710513,11.2486208,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024. Red Blend Italy Tuscany Toscana I Giusti e Zanza"
"253","US","Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.","Bella Vida Vineyard Unfiltered",92,52,"Oregon","Dundee Hills","Willamette Valley","Paul Gregutt","@paulgwine ","J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills)","Pinot Noir","J. Christopher","Dundee Hills, Oregon, US",37.5134853,-77.4707131,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels. Pinot Noir US Oregon Dundee Hills J. Christopher"
"254","Argentina","This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.","Marchiori Vineyard Block C2",92,215,"Mendoza Province","Perdriel","","Michael Schachner","@wineschach","Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel)","Malbec","Viña Cobos","Perdriel, Mendoza Province, Argentina",-33.0764292,-68.8868944,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later. Malbec Argentina Mendoza Province Perdriel Viña Cobos"
"255","US","While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.","Rincon Vineyard",92,60,"California","Arroyo Grande Valley","Central Coast","","","Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley)","Pinot Noir","Talley","Arroyo Grande Valley, California, US",35.1443363,-120.543623,"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity. Pinot Noir US California Arroyo Grande Valley Talley"
"256","Spain","This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.","Braó Vinyes Velles",92,40,"Catalonia","Montsant","","Michael Schachner","@wineschach","Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant)","Carignan-Grenache","Acústic","Montsant, Catalonia, Spain",41.265391,0.9050659,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019. Carignan-Grenache Spain Catalonia Montsant Acústic"
